Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
T4S19_MOUSE,1,1,3
TRDN_MOUSE,4,1,5
E9Q9M1_MOUSE,6,6,1
PWP2B_MOUSE,3,1,2
DLG5_MOUSE,22,2,7
U17PB_MOUSE,2,1,0
S27A6_MOUSE,1,5,2
PDZD7_MOUSE,6,1,6
CEA16_MOUSE,1,1,2
LMOD3_MOUSE,6,2,3
ZN431_MOUSE,4,4,1
HELZ2_MOUSE,0,12,2
E9QAQ5_MOUSE,29,11,7
E9QAS8_MOUSE,17,21,14
SC16A_MOUSE,9,0,6
ARK2C_MOUSE,9,2,2
E9QK53_MOUSE,13,21,7
E9QL53_MOUSE,1,23,1
E9QMP6_MOUSE,6,23,6
E9QN12_MOUSE,9,26,4
E9QNE9_MOUSE,2,23,0
E9QNF7_MOUSE,15,2,13
E9QNJ9_MOUSE,9,19,5
E9QNN1_MOUSE,25,24,11
E9QNX9_MOUSE,42,29,8
PRS56_MOUSE,2,1,2
F2Z4A3_MOUSE,10,1,5
F6Q8A4_MOUSE,5,24,2
F6QCP8_MOUSE,1,4,1
F6SBR5_MOUSE,1,23,1
SYGP1_MOUSE,16,2,5
F6TK14_MOUSE,5,19,1
RN212_MOUSE,4,2,1
ATF6A_MOUSE,8,6,5
F6VJC5_MOUSE,15,1,3
F6XRE6_MOUSE,40,1,9
F6YIN5_MOUSE,13,0,2
TPR_MOUSE,20,8,10
F6ZFB8_MOUSE,40,1,9
F7B9M9_MOUSE,0,2,1
MORC3_MOUSE,8,6,5
TSN15_MOUSE,4,1,7
F7C376_MOUSE,9,5,5
RFX7_MOUSE,2,2,1
F8VPK5_MOUSE,6,24,4
TEX15_MOUSE,15,0,2
F8VPN4_MOUSE,5,5,5
ARI4A_MOUSE,12,1,4
F8VPR5_MOUSE,11,27,3
F8VPT7_MOUSE,1,23,1
FARP1_MOUSE,8,3,8
ERCC6_MOUSE,33,13,5
ADAM3_MOUSE,8,1,5
F8VQ29_MOUSE,10,3,4
F8VQ54_MOUSE,17,9,7
MYO10_MOUSE,5,7,11
F8VQL0_MOUSE,11,20,1
GPR31_MOUSE,6,3,1
MYH2_MOUSE,3,3,7
G3UWT3_MOUSE,5,2,9
NKX11_MOUSE,4,2,1
G3UYC5_MOUSE,1,21,1
KAD9_MOUSE,0,4,4
G3UYX7_MOUSE,27,7,2
G3UZ46_MOUSE,6,2,9
ADGB_MOUSE,3,4,3
G3UZY9_MOUSE,5,2,9
TRI55_MOUSE,5,4,2
G3X8Y8_MOUSE,32,9,8
SPRTN_MOUSE,8,6,3
SL9A3_MOUSE,3,4,6
S39A2_MOUSE,4,2,3
AOXC_MOUSE,1,10,1
G3X9H5_MOUSE,13,10,15
SI1L3_MOUSE,6,1,8
BIG1_MOUSE,9,3,8
KBTB2_MOUSE,7,1,1
RFIP2_MOUSE,6,3,3
LRC32_MOUSE,6,2,3
AT2B1_MOUSE,11,5,9
KCNKG_MOUSE,7,2,3
TRIPC_MOUSE,6,2,2
G5E884_MOUSE,13,24,7
TEKT5_MOUSE,1,0,2
U17LC_MOUSE,3,1,2
ANK3_MOUSE,23,5,20
BRD1_MOUSE,7,7,6
AGRF5_MOUSE,13,1,4
TAF4B_MOUSE,8,1,4
H3BLD7_MOUSE,9,4,9
H6RXZ1_MOUSE,11,13,11
H7BWY3_MOUSE,5,4,1
H7BX38_MOUSE,25,4,1
H7BX60_MOUSE,8,3,2
ZN683_MOUSE,9,3,1
GFY_MOUSE,3,0,2
CAHM3_MOUSE,4,3,2
AL3B3_MOUSE,1,1,2
TO6BL_MOUSE,2,1,1
J3QN31_MOUSE,8,6,1
ACTMP_MOUSE,1,2,1
TSEAR_MOUSE,5,0,4
TRPM3_MOUSE,5,7,1
K7QD41_MOUSE,56,8,13
L0CL36_MOUSE,23,6,7
KIF14_MOUSE,29,7,8
FBW15_MOUSE,1,0,4
ASCL5_MOUSE,4,5,2
TECTA_MOUSE,3,1,4
HXK2_MOUSE,18,5,5
CAN2_MOUSE,19,6,17
S1PR1_MOUSE,27,3,6
CA2D1_MOUSE,10,2,7
ESR2_MOUSE,19,5,3
ANGP1_MOUSE,41,5,4
BIN1_MOUSE,21,9,23
EFNA5_MOUSE,18,3,7
EFNA3_MOUSE,3,1,2
SC22B_MOUSE,6,2,8
KMT2B_MOUSE,7,5,3
DPYL2_MOUSE,5,2,10
LEG9_MOUSE,29,5,5
MESP2_MOUSE,6,4,2
EYA2_MOUSE,4,5,4
EMD_MOUSE,6,2,11
ERR1_MOUSE,3,8,2
KCNK1_MOUSE,8,8,11
THOC4_MOUSE,4,5,4
PTEN_MOUSE,75,23,8
STXB1_MOUSE,30,5,15
NUCG_MOUSE,19,4,3
MTP_MOUSE,14,11,8
RAE1A_MOUSE,3,1,2
RAE1B_MOUSE,9,1,2
RAE1C_MOUSE,3,1,2
MKNK1_MOUSE,4,24,0
OAZ2_MOUSE,6,1,1
MLX_MOUSE,4,3,3
MYH11_MOUSE,4,5,8
EPHB6_MOUSE,4,2,3
M3K4_MOUSE,9,5,2
HYAS3_MOUSE,5,2,6
SEM3A_MOUSE,37,3,4
RBPJL_MOUSE,2,5,2
PAR3_MOUSE,4,3,2
KNG1_MOUSE,3,1,2
BARX2_MOUSE,6,6,5
GDF8_MOUSE,27,6,2
ARGI2_MOUSE,19,2,1
NGP_MOUSE,3,1,2
FOXM1_MOUSE,12,3,1
NTCP_MOUSE,5,1,2
ACKR2_MOUSE,3,3,7
PRDX6_MOUSE,3,6,3
THYG_MOUSE,6,2,1
TR11B_MOUSE,12,1,4
AKAP1_MOUSE,2,2,3
BAK_MOUSE,48,10,7
CASPC_MOUSE,5,1,1
CASP6_MOUSE,9,3,4
AMPD3_MOUSE,10,2,0
MATN2_MOUSE,7,1,5
UNC5C_MOUSE,13,4,9
DLDH_MOUSE,7,4,12
NFIL3_MOUSE,8,3,1
HNF6_MOUSE,23,4,2
HCD2_MOUSE,11,12,5
UBE3A_MOUSE,27,4,6
OGG1_MOUSE,18,10,6
NETR_MOUSE,3,2,10
CLOCK_MOUSE,20,27,8
DCTN1_MOUSE,20,2,20
MNT_MOUSE,4,7,2
FPRS1_MOUSE,2,2,1
COE3_MOUSE,2,3,1
COE2_MOUSE,6,5,1
GLU2B_MOUSE,5,3,3
EF2K_MOUSE,14,5,3
PRDX4_MOUSE,8,3,4
DIAP1_MOUSE,17,5,8
ERCC2_MOUSE,35,17,9
GALT4_MOUSE,2,3,2
GFRA2_MOUSE,3,2,2
RO60_MOUSE,6,4,5
RGS2_MOUSE,18,4,6
PKD1_MOUSE,42,8,16
SSR5_MOUSE,2,1,1
TSG6_MOUSE,11,4,2
BIRC3_MOUSE,9,2,2
IKZF3_MOUSE,8,8,4
BUB1_MOUSE,6,24,5
P85B_MOUSE,14,5,3
MK12_MOUSE,2,5,2
GALT1_MOUSE,3,3,3
FAAH1_MOUSE,4,5,6
AIP_MOUSE,4,5,4
FLOT1_MOUSE,25,2,23
NUMBL_MOUSE,10,0,1
UNC4_MOUSE,7,2,1
S22A1_MOUSE,19,17,6
CYH3_MOUSE,4,2,7
PHLA2_MOUSE,8,1,2
HPS1_MOUSE,24,1,3
SDCB1_MOUSE,13,13,13
NCOA3_MOUSE,10,24,4
DEGS1_MOUSE,4,2,2
MFNG_MOUSE,5,2,1
RFNG_MOUSE,5,2,1
LFNG_MOUSE,10,2,1
PEX5_MOUSE,21,5,7
REG3A_MOUSE,4,2,1
SH2B3_MOUSE,19,3,0
NAPSA_MOUSE,2,2,3
SNP23_MOUSE,2,0,5
OXLA_MOUSE,13,2,5
C3AR_MOUSE,6,2,1
REG3G_MOUSE,15,4,3
GUC2B_MOUSE,9,1,1
WRN_MOUSE,21,27,7
PSB1_MOUSE,1,0,4
GATA2_MOUSE,60,8,4
GCM2_MOUSE,9,6,1
NDF4_MOUSE,10,2,1
HDAC1_MOUSE,33,26,13
MP2K3_MOUSE,16,8,0
